field,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,sample_size,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050212-D225301,well_tied,1,431610.05,431610.05,431610.05,431610.05,431610.05,431610.05,431610.05
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050213-D225301,well_tied,1,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050214-D225301,well_tied,1,127992.0,127992.0,127992.0,127992.0,127992.0,127992.0,127992.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050215-D225301,well_tied,1,90519.15,90519.15,90519.15,90519.15,90519.15,90519.15,90519.15
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050216-D225301,well_tied,1,78091.96,78091.96,78091.96,78091.96,78091.96,78091.96,78091.96
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050217-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050220-D225301,well_tied,1,13026.14,13026.14,13026.14,13026.14,13026.14,13026.14,13026.14
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050224-D225301,well_tied,1,36907.27,36907.27,36907.27,36907.27,36907.27,36907.27,36907.27
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050247-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050294-D225301,well_tied,1,56043.99,56043.99,56043.99,56043.99,56043.99,56043.99,56043.99
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050295-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050296-D225301,well_tied,1,173.86,173.86,173.86,173.86,173.86,173.86,173.86
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050297-D225301,well_tied,1,12413.28,12413.28,12413.28,12413.28,12413.28,12413.28,12413.28
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010502-D225301,E530-30101050298-D225301,well_tied,1,53020.16,53020.16,53020.16,53020.16,53020.16,53020.16,53020.16
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010561-D225301,E530-30101056101-D225301,well_tied,1,198087.95,198087.95,198087.95,198087.95,198087.95,198087.95,198087.95
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010561-D225301,E530-30101056102-D225301,well_tied,1,678.26,678.26,678.26,678.26,678.26,678.26,678.26
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010561-D225301,E530-30101056118-D225301,well_tied,1,332119.15,332119.15,332119.15,332119.15,332119.15,332119.15,332119.15
DARAJAT,E530-30101-D225301,E530-3010105-D225301,E530-301010561-D225301,E530-30101056193-D225301,well_tied,1,13514.56,13514.56,13514.56,13514.56,13514.56,13514.56,13514.56
DARAJAT,E530-30101-D225301,E530-3010156-D225301,E530-301015601-D225301,E530-30101560123-D225301,hybrid,1,694657.64,694657.64,694657.64,694657.64,694657.64,694657.64,694657.64
DARAJAT,E530-30101-D225301,E530-3010156-D225301,E530-301015602-D225301,E530-30101560223-D225301,hybrid,1,694133.15,694133.15,694133.15,694133.15,694133.15,694133.15,694133.15
DARAJAT,E530-30101-D225301,E530-3010156-D225301,E530-301015603-D225301,E530-30101560323-D225301,hybrid,1,226964.09,226964.09,226964.09,226964.09,226964.09,226964.09,226964.09
DARAJAT,E530-30101-D225301,E530-3010161-D225301,E530-301016101-D225301,E530-30101610123-D225301,hybrid,1,169380.89,169380.89,169380.89,169380.89,169380.89,169380.89,169380.89
DARAJAT,E530-30101-D225301,E530-3010169-D225301,E530-301016966-D225301,E530-30101696623-D225301,campaign_tied,1,2200569.61,2200569.61,2200569.61,2200569.61,2200569.61,2200569.61,2200569.61
DARAJAT,E530-30101-D225301,E530-3010169-D225301,E530-301016967-D225301,E530-30101696706-D225301,campaign_tied,1,457576.21,457576.21,457576.21,457576.21,457576.21,457576.21,457576.21
DARAJAT,E530-30101-D225301,E530-3010172-D225301,E530-301017299-D225301,E530-30101729921-D225301,campaign_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010173-D225301,E530-301017311-D225301,E530-30101731160-D225301,well_tied,1,119099.02,119099.02,119099.02,119099.02,119099.02,119099.02,119099.02
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010101-D235301,E530-30101010160-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010204-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010205-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010207-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010208-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010209-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010210-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010211-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010212-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D235301,E530-3010101-D235301,E530-301010102-D235301,E530-30101010213-D235301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
