classification_key,field,wbs_code_lv5,wbs_lvl5,wbs_family_tag,example_wbs_label,supporting_cost_total,estimation_class,driver_family,well_estimation_use,campaign_estimation_use,approval_status,approval_basis,approval_notes
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030247-D225301,DARAJAT,E530-30101030247-D225301,E530-30101030247-D225301,Coring,Coring 20-1,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P036,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030294-D225301,DARAJAT,E530-30101030294-D225301,E530-30101030294-D225301,NDT Inspection,NDT Inspection 20-1,62912.890000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P047,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030295-D225301,DARAJAT,E530-30101030295-D225301,E530-30101030295-D225301,Rig Inspection,Rig Inspection 20-1,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P050,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030296-D225301,DARAJAT,E530-30101030296-D225301,E530-30101030296-D225301,Vehicle Inspection,Vehicle Inspection 20-1,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P054,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030297-D225301,DARAJAT,E530-30101030297-D225301,E530-30101030297-D225301,Welding Service,Welding Services 20-1,10851.890000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P055,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030298-D225301,DARAJAT,E530-30101030298-D225301,E530-30101030298-D225301,API non API Machine Shop Service,API non API Machine Shop Services 20-1,78769.120000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P031,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010361-D225301|E530-30101036101-D225301,DARAJAT,E530-30101036101-D225301,E530-30101036101-D225301,Casing,Casing 20-1,419472.970000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010361-D225301|E530-30101036102-D225301,DARAJAT,E530-30101036102-D225301,E530-30101036102-D225301,Well Equipment Surface,Well Equip. Surface 20-1,67957.220000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010361-D225301|E530-30101036118-D225301,DARAJAT,E530-30101036118-D225301,E530-30101036118-D225301,Fuel & Lubricants,Fuel & Lubricants 20-1,433704.530000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010361-D225301|E530-30101036193-D225301,DARAJAT,E530-30101036193-D225301,E530-30101036193-D225301,Asset Transfer,Asset Transfer 20-1,22400.720000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010401-D225301|E530-30101040160-D225301,DARAJAT,E530-30101040160-D225301,E530-30101040160-D225301,Consumables,Consumables SF-1,26370.440000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040204-D225301,DARAJAT,E530-30101040204-D225301,E530-30101040204-D225301,Service Lines & Communication,Service Lines & Comm SF-1,1311.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P052,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040205-D225301,DARAJAT,E530-30101040205-D225301,E530-30101040205-D225301,Contract Rig,Contract Rig SF-1,1033044.740000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P035,curated_well_scope Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040207-D225301,DARAJAT,E530-30101040207-D225301,E530-30101040207-D225301,"Mud, Chemical and Engineering Service","Mud, Chemical and Eng Serv SF-1",443856.330000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P046,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040208-D225301,DARAJAT,E530-30101040208-D225301,E530-30101040208-D225301,"Bits, Reamer and Core heads","Bits, Reamer and Core heads SF-1",231601.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P032,curated_well_scope
