classification_key,field,wbs_lvl4,wbs_lvl5,supporting_cost_total,suggested_tag,suggestion_basis
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040294-D225301,DARAJAT,E530-301010402-D225301,E530-30101040294-D225301,33042.430000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012978-D225301|E530-301297862-D225301|E530-30129786227-D225301,DARAJAT,E530-301297862-D225301,E530-30129786227-D225301,32221.370000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020294-D225301,DARAJAT,E530-301010202-D225301,E530-30101020294-D225301,32029.560000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050213-D225301,DARAJAT,E530-301010502-D225301,E530-30101050213-D225301,30000.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010213-D225301,DARAJAT,E530-301010102-D225301,E530-30101010213-D225301,29312.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012978-D225301|E530-301297856-D225301|E530-30129785627-D225301,DARAJAT,E530-301297856-D225301,E530-30129785627-D225301,29263.280000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030213-D225301,DARAJAT,E530-301010302-D225301,E530-30101030213-D225301,29229.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012978-D245401|E540-301297856-D245401|E540-30129785627-D245401,SALAK,E540-301297856-D245401,E540-30129785627-D245401,23682.080000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D235301|E530-3010173-D235301|E530-301017311-D235301|E530-30101731160-D235301,DARAJAT,E530-301017311-D235301,E530-30101731160-D235301,22676.260000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297758-D235301|E530-30129775816-D235301,DARAJAT,E530-301297758-D235301,E530-30129775816-D235301,22092.530000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297759-D235301|E530-30129775920-D235301,DARAJAT,E530-301297759-D235301,E530-30129775920-D235301,20422.640000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012982-D235301|E530-301298264-D235301|E530-30129826460-D235301,DARAJAT,E530-301298264-D235301,E530-30129826460-D235301,20405.190000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010217-D225301,DARAJAT,E530-301010102-D225301,E530-30101010217-D225301,20360.220000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012977-D235301|E530-301297727-D235301|E530-30129772724-D235301,DARAJAT,E530-301297727-D235301,E530-30129772724-D235301,19289.670000,campaign,default_for_shared_or_unknown_scope
