well_alias,well_canonical,campaign_code,campaign_id,estimator_scope,include_for_estimator,include_for_well_training,source_sheet,note,well_sequence_in_campaign,well_order_label,well_order_basis,well_order_note
AWI 9-11,AWI 9-11,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Structured.Cost,,8,well_8,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
DRJ 14-1,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ 14-2,DRJ-52,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ 20 NE,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ 20 WNW,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ 20-1,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ S4 SW,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ S4S,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ S4SSE,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ SF-1,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ SF-ML,DRJ-38RD,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ STEAM 2,DRJ-54,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ STEAM 3,DRJ-55,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ STEAM 4,DRJ-56,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ STEAM 5,DRJ-57,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ STEAM 6,DRJ-53,E530-30101-D235301,DARAJAT_2023_2024,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-38RD,DRJ-38,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-38RD,DRJ-38RD,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-38RD,DRJ-38RD,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-38RD,DRJ-38RD,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-38RD,DRJ-38RD,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-38RD,DRJ-38RD,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-44,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-44,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-44,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-44,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-44,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-44,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-44OH,DRJ-44,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-44OH,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-44OH,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-44OH,DRJ-44,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-45,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-45OH,DRJ-45,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-45OH,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-45OH,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-45OH,DRJ-45,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-46,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-46OH,DRJ-46,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-46OH,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-46OH,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-46OH,DRJ-46,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-47,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-47OH,DRJ-47,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-47OH,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-47OH,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-47OH,DRJ-47,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,alias_catalog,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-48,DRJ-48,E530-30101-D19001,DARAJAT_2019,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-49,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-49OH,DRJ-49,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-49OH,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-49OH,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-49OH,DRJ-49,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-50,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-50OH,DRJ-50,,,reference,no,no,alias_catalog,Configured alias mapping,,,,
DRJ-50OH,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-50OH,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
DRJ-50OH,DRJ-50,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,alias_catalog,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Drill.Depth.Days,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,General.Camp.Data,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Phase.Summary,,,,,
DRJ-51,DRJ-51,E530-30101-D225301,DARAJAT_2022,in_scope,yes,yes,Structured.Cost,,,,,
