field,campaign_canonical,campaign_code,campaign_raw,campaign_year,well_raw,well_canonical,level_2,level_3,level_4,level_5,pricing_basis,unit_price_basis,quantity_value,unit_price_usd,actual_cost_usd,actual_depth_ft,actual_days,npt_days,active_operational_days,data_quality_flag,source_workbook,source_sheet,source_row_key
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,24.895833,52989.751337,1319224.000000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,172
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,63.968750,34917.263508,2233613.700000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,173
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,40.604167,32224.499520,1308448.960000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,174
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,24.875000,42031.213668,1045526.440000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,175
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,21.427083,33983.133402,728159.420000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,176
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,24.895833,14380.233833,358007.900000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,177
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,40.604167,15369.775718,624076.940000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,178
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,24.875000,30414.102111,756550.790000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,179
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-48,DRJ-48,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,21.427083,51162.309867,1096259.060000,5399.500000,21.479167,0.052083,21.427083,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,180
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-44OH,DRJ-44,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,24.895833,1683.174048,41904.020000,5860.000000,24.937500,0.041667,24.895833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,181
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-45OH,DRJ-45,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,63.968750,2012.688383,128749.160000,5977.000000,65.302083,1.333333,63.968750,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,182
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-46OH,DRJ-46,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,40.604167,1847.672432,75023.200000,5836.000000,40.687500,0.083333,40.604167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,183
DARAJAT,DARAJAT_2019,E530-30101-D19001,DRJ - 2019,2019,DRJ-47OH,DRJ-47,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,24.875000,2314.757789,57579.600000,5902.000000,25.000000,0.125000,24.875000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,184
